RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
18118,13K07039,11/15/2013 8:20:00 AM,7A,AUTO THEFT,,NA,834,F,32,BLACK_OR_AFRICAN_AMERICAN,,2300 ASHTON ST,SOUTHWEST,N/A,MILLHILL,39.281244879387067,-76.654010838130361,"(39.281244879387067,-76.654010838130361)",STREET              ,1,-76.654010838,39.281244879
18119,13K07072,11/15/2013 6:30:00 PM,6F,LARCENY,,NA,942,F,27,WHITE,,1400 S CHARLES ST,SOUTHERN,N/A,SOUTH BALTIMORE,39.273285658526518,-76.613945481281647,"(39.273285658526518,-76.613945481281647)",STREET              ,1,-76.613945481,39.2732856590001
18120,13K07397,11/15/2013 10:00:00 PM,5D,BURGLARY,,NA,835,M,31,BLACK_OR_AFRICAN_AMERICAN,,100 S HILTON ST,SOUTHWEST,N/A,SAINT JOSEPHS,39.284375262721291,-76.672458785384052,"(39.284375262721291,-76.672458785384052)",YARD,1,-76.6724587849999,39.2843752630001
18121,14A06122,1/15/2014 5:00:00 PM,6D,LARCENY FROM AUTO,,NA,211,F,41,WHITE,,100 INTERNATIONAL DR,SOUTHEAST,N/A,INNER HARBOR,39.282691778891646,-76.60181205798456,"(39.282691778891646,-76.60181205798456)",OTHER - INSIDE      ,1,-76.601812058,39.2826917790001
18122,14A06103,1/15/2014 4:30:00 PM,6C,LARCENY,,NA,213,,,UNKNOWN,,1600 THAMES ST,SOUTHEAST,N/A,FELLS POINT,39.281136448497151,-76.594201258683697,"(39.281136448497151,-76.594201258683697)",CONVENIENCE STORE,1,-76.594201259,39.281136448
18123,14B01760,1/15/2014 10:30:00 AM,5A,BURGLARY,,NA,426,U,,UNKNOWN,,3300 RUECKERT AVE,NORTHEAST,N/A,WALTHERSON,39.346177056299659,-76.561190470750361,"(39.346177056299659,-76.561190470750361)",ROW/TOWNHOUSE-VAC,1,-76.561190471,39.346177056
18124,14A06124,1/15/2014 5:25:00 PM,4E,COMMON ASSAULT,,NA,521,M,38,BLACK_OR_AFRICAN_AMERICAN,,4700 YORK RD,NORTHERN,N/A,KERNEWOOD,39.346282891885366,-76.609865701640814,"(39.346282891885366,-76.609865701640814)",MTA LOT,1,-76.609865702,39.346282892
18125,14A06083,1/15/2014 4:34:00 PM,6C,LARCENY,,NA,134,,,UNKNOWN,,200 W CHASE ST,CENTRAL,N/A,MID-TOWN BELVEDERE,39.301683979552024,-76.619900190831629,"(39.301683979552024,-76.619900190831629)",RETAIL/SMALL BUSINES,1,-76.6199001909999,39.3016839800001
18126,14A06065,1/15/2014 3:45:00 PM,6C,LARCENY,,NA,321,,,UNKNOWN,,2200 E MONUMENT ST,EASTERN,N/A,CARE,39.298561309687422,-76.585438697393855,"(39.298561309687422,-76.585438697393855)",STREET              ,1,-76.585438697,39.29856131
18127,14A06033,1/15/2014 2:00:00 PM,6C,LARCENY,,NA,112,,,UNKNOWN,,600 E PRATT ST,CENTRAL,N/A,INNER HARBOR,39.286932971661791,-76.607299140470914,"(39.286932971661791,-76.607299140470914)",DEPARTMENT STORE,1,-76.60729914,39.286932972
18128,14A06592,1/15/2014 4:00:00 PM,5D,BURGLARY,,NA,722,,,UNKNOWN,,700 N PULASKI ST,WESTERN,N/A,MIDTOWN-EDMONDSON,39.296385196437299,-76.650685745193442,"(39.296385196437299,-76.650685745193442)",RELIGIOUS  INSTITUTI,1,-76.650685745,39.2963851960001
18129,14A06162,1/15/2014 6:53:00 PM,3B,ROBBERY,,NA,413,M,35,WHITE,,4700 LOCH RAVEN BLVD,NORTHEAST,N/A,NEW NORTHWOOD,39.347967526212379,-76.592331685958086,"(39.347967526212379,-76.592331685958086)",STREET              ,1,-76.592331686,39.347967526
18130,14A04272,1/10/2014 6:30:00 PM,6D,LARCENY FROM AUTO,,NA,524,M,50,BLACK_OR_AFRICAN_AMERICAN,,5300 MIDWOOD AVE,NORTHERN,N/A,WOODBOURNE-MCCABE,39.352853463874645,-76.602845210763775,"(39.352853463874645,-76.602845210763775)",STREET              ,1,-76.602845211,39.3528534640001
18131,14A05845,1/10/2014 3:00:00 PM,6J,LARCENY,,NA,124,,,UNKNOWN,,600 N CHARLES ST,CENTRAL,N/A,MOUNT VERNON,39.296294217414086,-76.615490836846718,"(39.296294217414086,-76.615490836846718)",,1,-76.615490837,39.296294217
18132,14A04876,1/10/2014 7:30:00 PM,6E,LARCENY,,NA,,,,UNKNOWN,,900 ELLICOTT DW,,N/A,,0,0,"(0,0)",STREET              ,1,5.6843418860808E-14,5.6843418860808E-14
18133,14A09259,1/10/2014 2:00:00 PM,5A,BURGLARY,,NA,221,F,57,WHITE,,0 N PORT ST,SOUTHEAST,N/A,PATTERSON PLACE,39.292515740475302,-76.582506992115114,"(39.292515740475302,-76.582506992115114)",VACANT BUILDING,1,-76.5825069919999,39.2925157400001
18134,14A12127,1/10/2014 2:00:00 PM,5A,BURGLARY,,NA,913,U,,UNKNOWN,,3600 6TH ST,SOUTHERN,N/A,BROOKLYN,39.235649495401532,-76.602442049953154,"(39.235649495401532,-76.602442049953154)",OTHER/RESIDENTIAL,1,-76.60244205,39.2356494950001
18135,14A04201,1/10/2014 8:00:00 PM,6D,LARCENY FROM AUTO,,NA,333,F,48,BLACK_OR_AFRICAN_AMERICAN,,2600 BERYL AVE,EASTERN,N/A,BIDDLE STREET,39.302948533250408,-76.579937878754748,"(39.302948533250408,-76.579937878754748)",STREET              ,1,-76.5799378789999,39.3029485330001
18136,14A03868,1/10/2014 2:30:00 PM,5A,BURGLARY,,NA,824,M,36,BLACK_OR_AFRICAN_AMERICAN,,4200 MASSACHUSETTS AVE,SOUTHWEST,N/A,IRVINGTON,39.283218615106783,-76.686110907915548,"(39.283218615106783,-76.686110907915548)",ROW/TOWNHOUSE-OCC,1,-76.686110908,39.2832186150001
18137,14A03950,1/10/2014 4:53:00 PM,3B,ROBBERY,,NA,114,M,18,WHITE,,0 N HOWARD ST,CENTRAL,N/A,DOWNTOWN,39.289406404267652,-76.619371386717845,"(39.289406404267652,-76.619371386717845)",STREET              ,1,-76.6193713869999,39.289406404
18138,13L02433,12/5/2013 6:30:00 PM,6D,LARCENY FROM AUTO,,NA,942,M,25,WHITE,,0 E HEATH ST,SOUTHERN,N/A,SOUTH BALTIMORE,39.270500769024856,-76.611954181935872,"(39.270500769024856,-76.611954181935872)",STREET              ,1,-76.611954182,39.2705007690001
18139,13L02089,12/5/2013 1:40:00 PM,6D,LARCENY FROM AUTO,,NA,512,F,65,BLACK_OR_AFRICAN_AMERICAN,,200 E 25TH ST,NORTHERN,N/A,BARCLAY,39.31777628599027,-76.613777401074046,"(39.31777628599027,-76.613777401074046)",STREET              ,1,-76.6137774009999,39.317776286
18140,13L02540,12/5/2013 11:00:00 PM,7C,AUTO THEFT,,NA,522,F,21,WHITE,,400 EVESHAM AVE,NORTHERN,N/A,LAKE EVESHAM,39.365545783266462,-76.610340341100979,"(39.365545783266462,-76.610340341100979)",DRIVEWAY,1,-76.610340341,39.3655457830001
18141,13L02264,12/5/2013 9:00:00 AM,5A,BURGLARY,,NA,943,M,44,WHITE,,1400 WOODALL ST,SOUTHERN,N/A,RIVERSIDE,39.271782030216762,-76.598075678802701,"(39.271782030216762,-76.598075678802701)",ROW/TOWNHOUSE-OCC,1,-76.598075679,39.2717820300001
18142,13L02269,12/5/2013 7:30:00 PM,4C,AGG. ASSAULT,,OTHER,532,M,32,BLACK_OR_AFRICAN_AMERICAN,,2500 COLD SPRING LA,NORTHERN,N/A,GREENSPRING,39.340687998687159,-76.663922588327694,"(39.340687998687159,-76.663922588327694)",STREET              ,1,-76.6639225879999,39.3406879990001
18143,13L02454,12/5/2013 5:00:00 PM,6D,LARCENY FROM AUTO,,NA,831,M,38,BLACK_OR_AFRICAN_AMERICAN,,2500 TOLLEY ST,SOUTHWEST,N/A,MORRELL PARK,39.263854867821131,-76.650846486028087,"(39.263854867821131,-76.650846486028087)",STREET              ,1,-76.650846486,39.2638548680001
18144,13L02321,12/5/2013 9:15:00 PM,6J,LARCENY,,NA,213,M,49,WHITE,,600 S WOLFE ST,SOUTHEAST,N/A,FELLS POINT,39.284338347339208,-76.589820051221849,"(39.284338347339208,-76.589820051221849)",ROW/TOWNHOUSE-OCC,1,-76.5898200509999,39.2843383470001
18145,13L02313,12/5/2013 9:00:00 PM,6D,LARCENY FROM AUTO,,NA,312,F,52,BLACK_OR_AFRICAN_AMERICAN,,2200 KIRK AVE,EASTERN,N/A,EAST BALTIMORE MIDWAY,39.314841626903601,-76.605770359672718,"(39.314841626903601,-76.605770359672718)",STREET              ,1,-76.60577036,39.3148416270001
18146,13L02070,12/5/2013 11:05:00 AM,6A,LARCENY,,NA,812,M,19,BLACK_OR_AFRICAN_AMERICAN,,2000 EDGEWOOD ST,SOUTHWEST,N/A,FAIRMONT,39.31053394485987,-76.676202051142681,"(39.31053394485987,-76.676202051142681)",SCHOOL              ,1,-76.676202051,39.310533945
18147,13L08535,12/20/2013 7:30:00 PM,3AF,ROBBERY,,FIREARM,512,M,33,WHITE,,0 W 27TH ST,NORTHERN,N/A,CHARLES VILLAGE,39.32050620828953,-76.617678281986699,"(39.32050620828953,-76.617678281986699)",STREET              ,1,-76.617678282,39.320506208
18148,13L08495,12/20/2013 3:10:00 PM,4E,COMMON ASSAULT,,NA,123,M,14,BLACK_OR_AFRICAN_AMERICAN,,1300 MCCULLOH ST,CENTRAL,N/A,MADISON PARK,39.302897008950637,-76.627866294754625,"(39.302897008950637,-76.627866294754625)",SCHOOL              ,1,-76.627866295,39.302897009
18149,13L09674,12/20/2013 10:00:00 PM,6G,LARCENY,,NA,133,,,UNKNOWN,,2600 MADISON AVE,CENTRAL,N/A,RESERVOIR HILL,39.315112618821551,-76.639867496355279,"(39.315112618821551,-76.639867496355279)",APT/CONDO - OCCUPIED,1,-76.639867496,39.315112619
18150,13L08445,12/20/2013 2:53:00 PM,4E,COMMON ASSAULT,,NA,212,M,25,BLACK_OR_AFRICAN_AMERICAN,,2000 E BALTIMORE ST,SOUTHEAST,N/A,BUTCHER'S HILL,39.291923813483415,-76.587691706944128,"(39.291923813483415,-76.587691706944128)",STREET              ,1,-76.587691707,39.291923813
18151,13L11113,12/20/2013 1:45:00 PM,5A,BURGLARY,,NA,426,M,,UNKNOWN,,5400 HILLBURN AVE,NORTHEAST,N/A,WALTHERSON,39.345152883940337,-76.554317366795814,"(39.345152883940337,-76.554317366795814)",VACANT BUILDING,1,-76.554317367,39.3451528840001
18152,13L08326,12/20/2013 10:00:00 AM,4C,AGG. ASSAULT,,OTHER,213,M,,UNKNOWN,,1600 THAMES ST,SOUTHEAST,N/A,FELLS POINT,39.281569058307625,-76.594170021734612,"(39.281569058307625,-76.594170021734612)",,1,-76.594170022,39.2815690580001
18153,13L08534,12/20/2013 4:30:00 PM,5A,BURGLARY,,NA,224,M,69,BLACK_OR_AFRICAN_AMERICAN,,3000 PULASKI HWY,SOUTHEAST,N/A,ELLWOOD PARK/MONUMENT,39.295160752173267,-76.574679479402377,"(39.295160752173267,-76.574679479402377)",ROW/TOWNHOUSE-OCC,1,-76.5746794789999,39.2951607520001
18154,13K06945,11/15/2013 1:16:00 PM,3AF,ROBBERY,,FIREARM,624,F,44,BLACK_OR_AFRICAN_AMERICAN,,2300 GARRISON BLVD,NORTHWEST,N/A,GARWYN OAKS,39.31449826438395,-76.67713162369445,"(39.31449826438395,-76.67713162369445)",PORCH/DECK          ,1,-76.677131624,39.3144982640001
18155,13K07766,11/15/2013 12:30:00 PM,5A,BURGLARY,,NA,423,F,84,WHITE,,2900 ECHODALE AVE,NORTHEAST,N/A,HAMILTON HILLS,39.350993838075709,-76.56381606905579,"(39.350993838075709,-76.56381606905579)",ROW/TOWNHOUSE-OCC,1,-76.563816069,39.3509938380001
18156,13K07110,11/15/2013 2:00:00 PM,5F,BURGLARY,,NA,231,M,31,BLACK_OR_AFRICAN_AMERICAN,,1400 BONSAL ST,SOUTHEAST,N/A,MEDFORD,39.277150398729717,-76.54439635529701,"(39.277150398729717,-76.54439635529701)",ROW/TOWNHOUSE-OCC,1,-76.5443963549999,39.277150399
18157,13K07263,11/15/2013 4:00:00 PM,7A,AUTO THEFT,,NA,812,M,42,BLACK_OR_AFRICAN_AMERICAN,,2100 MOUNT HOLLY ST,SOUTHWEST,N/A,MOUNT HOLLY,39.311276558074709,-76.682164994630966,"(39.311276558074709,-76.682164994630966)",STREET              ,1,-76.6821649949999,39.311276558
18158,13K06850,11/15/2013 9:00:00 AM,5A,BURGLARY,,NA,443,M,46,BLACK_OR_AFRICAN_AMERICAN,,4500 PARKWOOD AVE,NORTHEAST,N/A,FRANKFORD,39.332042850955972,-76.551561999698407,"(39.332042850955972,-76.551561999698407)",ROW/TOWNHOUSE-OCC,1,-76.5515619999999,39.332042851
18159,13K06755,11/15/2013 3:02:00 AM,3JF,ROBBERY,,FIREARM,714,F,58,BLACK_OR_AFRICAN_AMERICAN,,1900 W LEXINGTON ST,WESTERN,N/A,PENROSE/FAYETTE STREET OUTREACH,39.290645515036921,-76.64783066003217,"(39.290645515036921,-76.64783066003217)",ROW/TOWNHOUSE-OCC,1,-76.64783066,39.2906455150001
18160,13K06965,11/15/2013 7:15:00 AM,5A,BURGLARY,,NA,932,F,37,WHITE,,600 WYETH ST,SOUTHERN,N/A,WASHINGTON VILLAGE/PIGTOWN,39.281422605498328,-76.629625982307232,"(39.281422605498328,-76.629625982307232)",ROW/TOWNHOUSE-OCC,1,-76.6296259819999,39.281422605
18161,13K35344,11/15/2013 1:15:00 AM,6D,LARCENY FROM AUTO,,NA,942,F,25,WHITE,,0 E HEATH ST,SOUTHERN,N/A,SOUTH BALTIMORE,39.270674407904785,-76.612656043538749,"(39.270674407904785,-76.612656043538749)",,1,-76.6126560439999,39.270674408
18162,13K06979,11/15/2013 3:36:00 PM,4C,AGG. ASSAULT,,OTHER,713,M,27,BLACK_OR_AFRICAN_AMERICAN,,800 W MULBERRY ST,WESTERN,N/A,HARLEM PARK,39.293508079250948,-76.631433445963737,"(39.293508079250948,-76.631433445963737)",BUS/AUTO            ,1,-76.631433446,39.293508079
18163,13L01601,11/15/2013 3:00:00 PM,5A,BURGLARY,,NA,835,U,,UNKNOWN,,100 S CATHERINE ST,SOUTHWEST,N/A,SHIPLEY HILL,39.285058077503933,-76.655855180046643,"(39.285058077503933,-76.655855180046643)",ROW/TOWNHOUSE-VAC,1,-76.6558551799999,39.2850580780001
18164,13K06889,11/15/2013 11:13:00 AM,5C,BURGLARY,,NA,222,F,28,WHITE,,0 N EAST AVE,SOUTHEAST,N/A,PATTERSON PARK NEIGHBORHOOD,39.293011099349023,-76.572244495753992,"(39.293011099349023,-76.572244495753992)",ROW/TOWNHOUSE-OCC,1,-76.5722444959999,39.2930110990001
18165,13K06919,11/15/2013 1:00:00 PM,6C,LARCENY,,NA,631,,,UNKNOWN,,6700 REISTERSTOWN RD,NORTHWEST,N/A,REISTERSTOWN STATION,39.357115181653505,-76.705694856861797,"(39.357115181653505,-76.705694856861797)",RETAIL/SMALL BUSINES,1,-76.705694857,39.357115182
18166,13K08026,11/15/2013 3:30:00 PM,6D,LARCENY FROM AUTO,,NA,431,M,29,WHITE,,2300 SINCLAIR LN,NORTHEAST,N/A,CLIFTON PARK,39.314424501322293,-76.585582629548711,"(39.314424501322293,-76.585582629548711)",PARKING LOT-INSIDE  ,1,-76.58558263,39.3144245010001
18167,13K06991,11/15/2013 2:20:00 PM,3B,ROBBERY,,NA,512,M,22,WHITE,,2800 SAINT PAUL ST,NORTHERN,N/A,CHARLES VILLAGE,39.322083093816481,-76.615926214090976,"(39.322083093816481,-76.615926214090976)",STREET              ,1,-76.615926214,39.322083094
18168,13K07008,11/15/2013 3:50:00 PM,6J,LARCENY,,NA,534,M,85,UNKNOWN,,1000 W 41ST ST,NORTHERN,N/A,HOES HEIGHTS,39.337764156973904,-76.634459797240538,"(39.337764156973904,-76.634459797240538)",PARKING LOT-OUTSIDE ,1,-76.634459797,39.337764157
18169,13K11194,11/25/2013 12:40:00 AM,4E,COMMON ASSAULT,,NA,824,F,18,BLACK_OR_AFRICAN_AMERICAN,,500 LYNDHURST ST,SOUTHWEST,N/A,ALLENDALE,39.292777899542713,-76.680321249809495,"(39.292777899542713,-76.680321249809495)",ROW/TOWNHOUSE-OCC,1,-76.68032125,39.2927779
18170,13L08255,12/20/2013 8:30:00 AM,4E,COMMON ASSAULT,,NA,824,F,35,BLACK_OR_AFRICAN_AMERICAN,,3700 EDMONDSON AVE,SOUTHWEST,N/A,ALLENDALE,39.293632723806716,-76.678516480909579,"(39.293632723806716,-76.678516480909579)",ROW/TOWNHOUSE-OCC,1,-76.678516481,39.2936327240001
18171,14A12143,12/20/2013 12:00:00 PM,5A,BURGLARY,,NA,835,M,,UNKNOWN,,100 WILLARD ST,SOUTHWEST,N/A,SHIPLEY HILL,39.284822704085798,-76.654603210584554,"(39.284822704085798,-76.654603210584554)",ROW/TOWNHOUSE-OCC,1,-76.6546032109999,39.2848227040001
18172,14A03835,12/20/2013 3:30:00 PM,6G,LARCENY,,NA,721,,,UNKNOWN,,800 BRADDISH AVE,WESTERN,N/A,EVERGREEN LAWN,39.29742448351822,-76.659115345664105,"(39.29742448351822,-76.659115345664105)",SCHOOL              ,1,-76.659115346,39.297424484
18173,13L08944,12/20/2013 2:00:00 PM,6J,LARCENY,,NA,834,M,38,BLACK_OR_AFRICAN_AMERICAN,,2300 WILKENS AVE,SOUTHWEST,N/A,CARROLLTON RIDGE,39.280070948341624,-76.653233869564247,"(39.280070948341624,-76.653233869564247)",YARD,1,-76.65323387,39.2800709480001
18174,13L08916,12/20/2013 8:30:00 PM,3B,ROBBERY,,NA,835,F,25,BLACK_OR_AFRICAN_AMERICAN,,2100 BOYD ST,SOUTHWEST,N/A,BOYD-BOOTH,39.286552299618684,-76.65031780427563,"(39.286552299618684,-76.65031780427563)",STREET              ,1,-76.6503178039999,39.2865523
18175,13L10098,12/20/2013 8:00:00 AM,6J,LARCENY,,NA,423,M,44,WHITE,,2200 WESTFIELD AVE,NORTHEAST,N/A,HAMILTON HILLS,39.364781532995437,-76.570059715248163,"(39.364781532995437,-76.570059715248163)",YARD,1,-76.570059715,39.364781533
18176,13L08406,12/20/2013 1:29:00 PM,3K,ROBBERY,,NA,425,M,,WHITE,,4200 BELMAR AVE,NORTHEAST,N/A,CEDMONT,39.352153800197073,-76.53255360177657,"(39.352153800197073,-76.53255360177657)",ROW/TOWNHOUSE-OCC,1,-76.532553602,39.3521538000001
18177,14A08869,12/20/2013 9:00:00 AM,5A,BURGLARY,,NA,,F,40,WHITE,,500 COLLINS AVE,,N/A,,0,0,"(0,0)",ROW/TOWNHOUSE-OCC,1,5.6843418860808E-14,5.6843418860808E-14
18178,13L08770,12/20/2013 11:00:00 AM,5A,BURGLARY,,NA,942,F,27,WHITE,,1400 LIGHT ST,SOUTHERN,N/A,SOUTH BALTIMORE,39.273008048655811,-76.611965554089394,"(39.273008048655811,-76.611965554089394)",ROW/TOWNHOUSE-OCC,1,-76.6119655539999,39.2730080490001
18179,13L09663,12/20/2013 12:00:00 PM,6J,LARCENY,,NA,441,,,UNKNOWN,,5100 DARIEN RD,NORTHEAST,N/A,CEDONIA,39.325056320413346,-76.531390164779268,"(39.325056320413346,-76.531390164779268)",ROW/TOWNHOUSE-VAC,1,-76.5313901649999,39.32505632
18180,13L08632,12/20/2013 10:05:00 PM,4E,COMMON ASSAULT,,NA,,M,28,WHITE,,2600 INSULATOR DR,,N/A,,0,0,"(0,0)",BAR,1,5.6843418860808E-14,5.6843418860808E-14
18181,13L08469,12/20/2013 12:22:00 PM,6G,LARCENY,,NA,313,F,47,WHITE,,1600 GUILFORD AVE,EASTERN,N/A,GREENMOUNT WEST,39.308406096383067,-76.612452973110095,"(39.308406096383067,-76.612452973110095)",SCHOOL              ,1,-76.612452973,39.3084060960001
18182,13L06077,12/15/2013 7:00:00 AM,4E,COMMON ASSAULT,,NA,445,F,54,WHITE,,4300 FOREST VIEW AVE,NORTHEAST,N/A,CEDMONT,39.350218769256358,-76.533721608819192,"(39.350218769256358,-76.533721608819192)",ROW/TOWNHOUSE-OCC,1,-76.5337216089999,39.350218769
18183,13L06013,12/15/2013 1:02:00 AM,4E,COMMON ASSAULT,,NA,225,F,33,UNKNOWN,,300 S EATON ST,SOUTHEAST,N/A,HIGHLANDTOWN,39.288304030192123,-76.565226637874687,"(39.288304030192123,-76.565226637874687)",ROW/TOWNHOUSE-OCC,1,-76.565226638,39.2883040300001
18184,13L06269,12/15/2013 4:54:00 PM,4C,AGG. ASSAULT,,OTHER,934,M,37,WHITE,,400 S PAYSON ST,SOUTHERN,N/A,CARROLLTON RIDGE,39.282277261417605,-76.648324602600113,"(39.282277261417605,-76.648324602600113)",STREET              ,1,-76.6483246029999,39.282277261
18185,13L06269,12/15/2013 4:54:00 PM,4C,AGG. ASSAULT,,OTHER,934,M,29,WHITE,,400 S PAYSON ST,SOUTHERN,N/A,CARROLLTON RIDGE,39.282277261417605,-76.648324602600113,"(39.282277261417605,-76.648324602600113)",STREET              ,1,-76.6483246029999,39.282277261
18186,13L06491,12/15/2013 3:30:00 PM,6G,LARCENY,,NA,324,F,63,BLACK_OR_AFRICAN_AMERICAN,,600 THE FALLSWAY,EASTERN,N/A,PENN-FALLSWAY,39.297294654212415,-76.61058730458852,"(39.297294654212415,-76.61058730458852)",OTHER - INSIDE      ,1,-76.610587305,39.297294654
18187,14A04044,1/10/2014 9:30:00 PM,3B,ROBBERY,,NA,511,M,,WHITE,,3000 N CHARLES ST,NORTHERN,N/A,JOHNS HOPKINS HOMEWOOD,39.324797577833465,-76.617701493205374,"(39.324797577833465,-76.617701493205374)",,1,-76.617701493,39.3247975780001
18188,14A03881,1/10/2014 1:20:00 PM,3B,ROBBERY,,NA,731,M,31,WHITE,,2300 LIBERTY HEIGHTS AVE,WESTERN,N/A,MONDAWMIN,39.318107163733806,-76.652982588015561,"(39.318107163733806,-76.652982588015561)",SUBWAY              ,1,-76.652982588,39.318107164
18189,14E13722,1/10/2014 9:00:00 AM,6J,LARCENY,,NA,513,F,,WHITE,,900 E 30TH ST,NORTHERN,N/A,BETTER WAVERLY,39.323123982380245,-76.604203909523207,"(39.323123982380245,-76.604203909523207)",OTHER - INSIDE      ,1,-76.60420391,39.323123982
18190,14A04057,1/10/2014 10:00:00 PM,4E,COMMON ASSAULT,,NA,212,M,31,UNKNOWN,,2000 E BALTIMORE ST,SOUTHEAST,N/A,BUTCHER'S HILL,39.291878933836571,-76.589014279572268,"(39.291878933836571,-76.589014279572268)",ALLEY,1,-76.58901428,39.2918789340001
18191,14A03633,1/10/2014 1:58:00 AM,4A,AGG. ASSAULT,,FIREARM,514,F,50,BLACK_OR_AFRICAN_AMERICAN,,2100 N CHARLES ST,NORTHERN,N/A,CHARLES NORTH,39.313284756395404,-76.616772034915996,"(39.313284756395404,-76.616772034915996)",STREET              ,1,-76.6167720349999,39.313284756
18192,14A03764,1/10/2014 11:10:00 AM,3B,ROBBERY,,NA,835,M,13,BLACK_OR_AFRICAN_AMERICAN,,500 POPLAR GROVE ST,SOUTHWEST,N/A,PENROSE/FAYETTE STREET OUTREACH,39.293206130891541,-76.665036128150874,"(39.293206130891541,-76.665036128150874)",MTA LOT,1,-76.6650361279999,39.293206131
18193,14A04369,1/10/2014 6:30:00 PM,6D,LARCENY FROM AUTO,,NA,534,M,49,WHITE,,4900 ROLAND AVE,NORTHERN,N/A,ROLAND PARK,39.35287183962172,-76.633504746202689,"(39.35287183962172,-76.633504746202689)",STREET              ,1,-76.633504746,39.35287184
18194,14A03874,1/10/2014 3:20:00 PM,4E,COMMON ASSAULT,,NA,234,M,14,UNKNOWN,,6700 ODONNELL ST,SOUTHEAST,N/A,GRACELAND PARK,39.283161838249455,-76.532775409963875,"(39.283161838249455,-76.532775409963875)",STREET              ,1,-76.5327754099999,39.2831618380001
18195,14A04100,1/10/2014 8:40:00 PM,6D,LARCENY FROM AUTO,,NA,321,F,66,BLACK_OR_AFRICAN_AMERICAN,,500 N CHESTER ST,EASTERN,N/A,CARE,39.297260180699759,-76.587571654188082,"(39.297260180699759,-76.587571654188082)",PARKING LOT-OUTSIDE ,1,-76.587571654,39.2972601810001
18196,14A09269,1/10/2014 7:00:00 PM,6E,LARCENY,,NA,415,F,54,BLACK_OR_AFRICAN_AMERICAN,,5800 EDGEPARK RD,NORTHEAST,N/A,LOCH RAVEN,39.359571784866745,-76.576291575257613,"(39.359571784866745,-76.576291575257613)",STREET              ,1,-76.576291575,39.3595717850001
18197,13H12856,8/26/2013 8:30:00 PM,4E,COMMON ASSAULT,,NA,922,F,13,BLACK_OR_AFRICAN_AMERICAN,,800 BETHUNE RD,SOUTHERN,N/A,CHERRY HILL,39.245307156051695,-76.620908200906243,"(39.245307156051695,-76.620908200906243)",STREET              ,1,-76.620908201,39.245307156
18198,13H13052,8/26/2013 9:00:00 PM,5D,BURGLARY,,NA,212,,,UNKNOWN,,10 BROADWAY,SOUTHEAST,N/A,WASHINGTON HILL,39.291035358078581,-76.594114510008481,"(39.291035358078581,-76.594114510008481)",OTHER - INSIDE      ,1,-76.5941145099999,39.291035358
18199,13H12630,8/26/2013 12:45:00 PM,4E,COMMON ASSAULT,,NA,533,M,,BLACK_OR_AFRICAN_AMERICAN,,2400 LOYOLA NORTHWAY,NORTHERN,N/A,GREENSPRING,39.340178239027402,-76.660177056908296,"(39.340178239027402,-76.660177056908296)",APT/CONDO - OCCUPIED,1,-76.6601770569999,39.3401782390001
18200,13H12473,8/26/2013 1:01:00 AM,8AV,ARSON,,FIRE,811,U,,UNKNOWN,,3000 WALBROOK AVE,SOUTHWEST,N/A,WALBROOK,39.309956222272127,-76.668558611405473,"(39.309956222272127,-76.668558611405473)",ROW/TOWNHOUSE-OCC,1,-76.668558611,39.309956222
18201,13K35224,8/26/2013 10:30:00 PM,6J,LARCENY,,NA,513,F,57,BLACK_OR_AFRICAN_AMERICAN,,300 E 31ST ST,NORTHERN,N/A,ABELL,39.326171333443085,-76.611296071117764,"(39.326171333443085,-76.611296071117764)",,1,-76.611296071,39.326171333
18202,13H12740,8/26/2013 4:22:00 PM,6G,LARCENY,,NA,331,F,39,WHITE,,1800 N GAY ST,EASTERN,N/A,BROADWAY EAST,39.311664914506245,-76.585208079117933,"(39.311664914506245,-76.585208079117933)",UNKNOWN,1,-76.585208079,39.3116649150001
18203,13L10163,12/15/2013 1:00:00 PM,5A,BURGLARY,,NA,426,M,61,WHITE,,4900 ROSS RD,NORTHEAST,N/A,WALTHERSON,39.34386652702895,-76.56323071240098,"(39.34386652702895,-76.56323071240098)",ROW/TOWNHOUSE-OCC,1,-76.5632307119999,39.343866527
18204,13L06607,12/15/2013 7:00:00 PM,6E,LARCENY,,NA,835,F,34,BLACK_OR_AFRICAN_AMERICAN,,0 S MORLEY ST,SOUTHWEST,N/A,SAINT JOSEPHS,39.285139979455082,-76.675445055617615,"(39.285139979455082,-76.675445055617615)",STREET              ,1,-76.6754450559999,39.2851399790001
18205,13L10631,12/15/2013 7:00:00 PM,6G,LARCENY,,NA,124,M,35,BLACK_OR_AFRICAN_AMERICAN,,800 N CHARLES ST,CENTRAL,N/A,MOUNT VERNON,39.298770892452552,-76.615535384782888,"(39.298770892452552,-76.615535384782888)",RESTAURANT,1,-76.615535385,39.2987708920001
