FID,RowID_,SRRecordID,ServiceReq,SRType,MethodRece,CreatedDat,SRStatus,StatusDate,DueDate,CloseDate,Agency,LastActivi,LastActi_1,Outcome,Address,ZipCode,Neighborho,CouncilDis,PoliceDist,PolicePost,Latitude,Longitude,GeoLocatio,NeedsSync,IsDeleted,HashedReco,timetoclose
8355,1236808,5004w00002tdnGPAAY,24-00157676,SW-Dirty Alley,Phone,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"4000 WALRAD ST, Baltimore City, 21229",21229,Irvington,8,Southwestern,815,39.280199280418358,-76.682178459597893,"(39.280199280418358, -76.682178459597893)",0,0,FlAeXyEktLEuqmYJeiOfVtKHjLSSuAGcs6KvlLB5Cu0=,8
8356,1236821,5004w00002tdNHBAA2,24-00148711,SW-Dirty Alley,Phone,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"3200 CLARENCE AVE, Baltimore City, 21213",21213,Belair-Edison,13,Eastern,331,39.322474038168259,-76.576152355763710,"(39.322474038168259, -76.576152355763710)",0,0,H0o1QjCAlvI5XQsp3f/8viYDUhWuVJTGlXY54uTgvCg=,6
8357,1236844,5004w00002tdnioAAA,24-00157786,SW-Dirty Street,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"2300 BLK WAHOTAN AVE, Baltimore City, 21215",21215,Liberty Square,7,Northern,531,39.323996293432913,-76.657817356945557,"(39.323996293432913, -76.657817356945557)",0,0,nnMEudRt3/mAv8DLiR21tWSAppY1jYI1im4IAdg99KY=,8
8358,1236862,5004w00002tdNjKAAU,24-00148856,SW-Dirty Street,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,SR assessed and no cause for action determined,"1272 JAMES ST, Baltimore City, 21223",21223,Washington Village/Pigtown,10,Southern,932,39.281581855925374,-76.636407001243498,"(39.281581855925374, -76.636407001243498)",0,0,iTLzLDz8Z7qmjdrKK3KVvs8rFN+nV14ZDt9qaDP047A=,7
8359,1236868,5004w00002tdNJvAAM,24-00148724,SW-Dirty Street,API,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"12 N CALVERT ST, Baltimore City, 21202",21202,Downtown,11,Central,114,39.290291539498000,-76.612536020622116,"(39.290291539498000, -76.612536020622116)",0,0,T6welBUdTkrTTS/Ur0ubCCWmIkNrf+ti5IcTO29BCkc=,8
8360,1236874,5004w00002tdNK5AAM,24-00148725,SW-Dirty Street,API,1707955200000,Closed,1708732800000,1708905600000,1708732800000,Solid Waste,Service Response,1708732800000,SR assessed and no cause for action determined,"5116 WETHEREDSVILLE RD, Baltimore City, 21207",21207,Dickeyville,8,Northwestern,611,39.314800311648590,-76.704935310065281,"(39.314800311648590, -76.704935310065281)",0,0,CeeEAM2kG8kuZM14uOgSoRq12E6CVuSSd3vL8D9GYOE=,9
8361,1236880,5004w00002tdnKHAAY,24-00157691,SW-Dirty Alley,API,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"2600 BLK BOARMAN AVE, Baltimore City, 21215",21215,Central Park Heights,6,Northern,533,39.339274252833917,-76.665417145257791,"(39.339274252833917, -76.665417145257791)",0,0,owef1CrQS4YTSy/FEgEqzQ1JosiLTRK1v/BOijraQNc=,3
8362,1236888,5004w00002tdnkUAAQ,24-00157790,SW-Dirty Street,API,1708300800000,Closed (Duplicate),1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,Work completed,"FREDERICK AVE & S COLLINS AVE, Baltimore City, 21229",21229,Irvington,8,Southwestern,814,39.281720170033289,-76.683561465491479,"(39.281720170033289, -76.683561465491479)",0,0,AJ0OJn+5/IK8Mg5sdqzhw8YaFEgmNDkvelDL2LOFq28=,7
8363,1236950,5004w00002tdnNcAAI,24-00157850,SW-Dirty Street,Phone,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"2123 MCCULLOH ST, Baltimore City, 21217",21217,Druid Heights,7,Western,712,39.309436326445073,-76.636015906750558,"(39.309436326445073, -76.636015906750558)",0,0,cgijfdcEfsP6qbP/P4JrAnLvpP20mmjQ6vZez7rXPLA=,8
8364,1236970,5004w00002tdnO0AAI,24-00157721,SW-Dirty Street,API,1708300800000,Closed (Duplicate),1708646400000,1709078400000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"12 N CALVERT ST, Baltimore City, 21202",21202,Downtown,11,Central,114,39.290291539498000,-76.612536020622116,"(39.290291539498000, -76.612536020622116)",0,0,LMwwjdYj9UIkE9s5yTTJyar0AI5kZCLtMczGvrvAI8k=,4
8365,1236977,5004w00002tdnoCAAQ,24-00157812,SW-Dirty Street,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"2300 BLK WAHOTAN AVE, Baltimore City, 21215",21215,Liberty Square,7,Northern,531,39.323996293432913,-76.657817356945557,"(39.323996293432913, -76.657817356945557)",0,0,TqW8iZcL759I3XFE8C6uLoa/+Lh6QmiOVYXUjH5kaNI=,8
8366,1237014,5004w00002tdnq3AAA,24-00157820,SW-Dirty Street,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"2300 BLK WAHOTAN AVE, Baltimore City, 21215",21215,Liberty Square,7,Northern,531,39.323996293432913,-76.657817356945557,"(39.323996293432913, -76.657817356945557)",0,0,X0EDDVM6MGDLBbAYyFjarvn5JaPxi9azyrOkiOe6A9Y=,8
8367,1237130,5004w00002tdnuPAAQ,24-00157842,SW-Dirty Street,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"WATERVIEW AVE & WESTPORT ST, Baltimore City, 21230",21230,Westport,10,Southern,923,39.260604985035570,-76.637394837766081,"(39.260604985035570, -76.637394837766081)",0,0,9nU4N5RV/FXIRG4OtBUT5N9O70keP67X1fQBXpXVTuU=,8
8368,1237138,5004w00002tdNuXAAU,24-00148945,SW-Dirty Street,Phone,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"705 S ANN ST, Baltimore City, 21231",21231,Fells Point,1,Central,135,39.283440063781775,-76.591068332461504,"(39.283440063781775, -76.591068332461504)",0,0,1vqvcp03sRhC3xmBd+iRLM1Y8y0NRaB/7VK7v9DU76U=,8
8369,1237177,5004w00002tdnx4AAA,24-00157864,SW-Dirty Alley,API,1708300800000,Closed,1708732800000,1709078400000,1708732800000,Solid Waste,Service Response,1708732800000,Work completed,"602 N CURLEY ST, Baltimore City, 21205",21205,Ellwood Park/Monument,13,Southeastern,215,39.298340938324813,-76.576061971822881,"(39.298340938324813, -76.576061971822881)",0,0,dv5HxvdN/kMFmBYClhDIwxhIOkPIs2dJRWmEu7oLT7E=,5
8370,1237178,5004w00002tdNx7AAE,24-00148959,SW-Dirty Street,Internal,1707955200000,Closed,1708732800000,1708905600000,1708732800000,Solid Waste,Service Response,1708732800000,Work completed,"1200 E NORTH AVE, BC, 21202",21202,East Baltimore Midway,12,Eastern,322,39.311856565791800,-76.602592911721985,"(39.311856565791800, -76.602592911721985)",0,0,n2OP/Nyn+RIdDbGtp4KfcOcinHth6fbudGlrVh5D+oA=,9
8371,1237226,5004w00002tdo08AAA,24-00157867,SW-Dirty Street,Phone,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"3900 BLK GRENTON AVE, Baltimore City, 21206",21206,Waltherson,3,Northeastern,431,39.335593683357295,-76.563303572713878,"(39.335593683357295, -76.563303572713878)",0,0,JVyePczfNScuBex+BuJsTlPLt+NQtTwxGI79unTTD4U=,3
8372,1237236,5004w00002tdO1BAAU,24-00149002,SW-Dirty Street,Phone,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,SR assessed and no cause for action determined,"4400 BLK HILLSDALE RD, Baltimore City, 21215",21215,Woodmere,5,Northwestern,621,39.342791446460978,-76.691686852379775,"(39.342791446460978, -76.691686852379775)",0,0,rBpTns+UrrZxz9MA/NoEMwoH3cZiLwn246lEwOSyzgk=,6
8373,1237244,5004w00002tdo2EAAQ,24-00157873,SW-Dirty Alley,API,1708300800000,Closed,1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,Work completed,"701 N CURLEY ST, Baltimore City, 21205",21205,Madison-Eastend,13,Southeastern,226,39.299426966442205,-76.575834319392825,"(39.299426966442205, -76.575834319392825)",0,0,9OWblV4k1kKo9u/UpBYNdug5wLjxOcFq4wlsDp39Hl0=,7
8374,1237255,5004w00002tdO3kAAE,24-00149147,SW-Dirty Street,API,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"300 W 29TH ST, Baltimore City, 21211",21211,Remington,14,Northern,512,39.322203691941183,-76.622410219926437,"(39.322203691941183, -76.622410219926437)",0,0,TR/B+yY9GVcNR6tD1mpRHbEoJF+WYihGA7E9MQ7A10c=,6
8375,1237283,5004w00002tdO69AAE,24-00149010,SW-Dirty Alley,Phone,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"2503 W BALTIMORE ST, Baltimore City, 21223",21223,Shipley Hill,9,Southwestern,823,39.287595065491359,-76.656339933616394,"(39.287595065491359, -76.656339933616394)",0,0,zLJSB1Fi7xDaKjI7e2TU/JlCwB3oJJX2iOgbZ6Jf9uw=,8
8376,1237331,5004w00002tdoAIAAY,24-00157898,SW-Dirty Street,Phone,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"5500 BELAIR RD, Baltimore City, 21206",21206,Waltherson,2,Northeastern,431,39.339921832898938,-76.549444476478186,"(39.339921832898938, -76.549444476478186)",0,0,jWIyRBhBUbUJMkXnUq4GN5lCeYoALsJy8BWjSaQlVYc=,3
8377,1237336,5004w00002tdoASAAY,24-00157899,SW-Dirty Alley,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"4603 PENNINGTON AVE, Baltimore City, 21226",21226,Curtis Bay,10,Southern,913,39.224369317983147,-76.588199720375940,"(39.224369317983147, -76.588199720375940)",0,0,6NrC4f/QsmgkgXJaUUoNojo0M30B1rUIbopaMb9o5Pw=,8
8378,1237391,5004w00002tdod8AAA,24-00158190,SW-Dirty Alley,API,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"2655 LOYOLA SOUTHWAY, Baltimore City, 21215",21215,Greenspring,6,Northern,532,39.336617432329355,-76.662513202848160,"(39.336617432329355, -76.662513202848160)",0,0,08qABo+WRtEM7ga2wKZ/j6tklvdNBUbtqENSLUqbfQA=,3
8379,1237403,5004w00002tdodqAAA,24-00158024,SW-Dirty Street,Phone,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"500 BLK N ARLINGTON AVE, Baltimore City, 21223",21223,Harlem Park,9,Western,715,39.294490774464300,-76.635602139713257,"(39.294490774464300, -76.635602139713257)",0,0,vC/i0wcrt3+iNLRJM6o30makj3p9WZ/PkiilVSO8+W0=,8
8380,1237406,5004w00002tdODuAAM,24-00149115,SW-Dirty Street,API,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"PARK HEIGHTS AVE & WOODLAND AVE, Baltimore City, 21215",21215,Central Park Heights,6,Northern,534,39.345206124853938,-76.671312089557404,"(39.345206124853938, -76.671312089557404)",0,0,T35Xl0W4f9RbFy1prIwALRzfbMGY88Dl3APU+yS+1nI=,6
8381,1237444,5004w00002tdOFoAAM,24-00149471,SW-Dirty Street,API,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"2300 DRUID HILL AVE, Baltimore City, 21217",21217,Penn North,7,Western,733,39.310724826618667,-76.638794286634166,"(39.310724826618667, -76.638794286634166)",0,0,vJcVcSZx+OE6MuRHJnjb84Ff2Q1VOQXUDvp6kSvbbHg=,6
8382,1237447,5004w00002tdofrAAA,24-00158172,SW-Dirty Street,Phone,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"3600 RAVENWOOD AVE, Baltimore City, 21213",21213,Belair-Edison,13,Eastern,334,39.315352138976081,-76.567959858916609,"(39.315352138976081, -76.567959858916609)",0,0,L/H/h/3gI1TrSXhYYpTcbWWOXZxDK61gyxBpel23aIE=,3
8383,1237478,5004w00002tdoH4AAI,24-00157927,SW-Dirty Alley,API,1708300800000,Closed,1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,Work completed,"3600 BROOKLYN AVE, Baltimore City, 21225",21225,Brooklyn,10,Southern,916,39.235297818188990,-76.599639442590714,"(39.235297818188990, -76.599639442590714)",0,0,6DB1S84xL/945+rp3RYAjBeNeLcXQomyVGqKZ7Ufq5s=,7
8384,1237479,5004w00002tdoH6AAI,24-00158015,SW-Dirty Street,API,1708300800000,Closed,1708732800000,1709078400000,1708732800000,Solid Waste,Service Response,1708732800000,Work completed,"MCELDERRY ST & N CURLEY ST, Baltimore City, 21205",21205,Ellwood Park/Monument,13,Southeastern,215,39.297991334753569,-76.575872830715127,"(39.297991334753569, -76.575872830715127)",0,0,DkHAD/jzBypm/4Z0EQILxTaBbExh88wBwxuMZvqRN1U=,5
8385,1237488,5004w00002tdoHJAAY,24-00157930,SW-Dirty Alley,API,1708300800000,Closed,1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,Work completed,"4206 MORRISON CT, Baltimore City, 21226",21226,Curtis Bay,10,Southern,913,39.227360827508598,-76.588051830166606,"(39.227360827508598, -76.588051830166606)",0,0,Hm7PQFOsckDZmkDTpO6K6FpBaYFUSNLabME9IPDoxPI=,7
8386,1237501,5004w00002tdOHWAA2,24-00149077,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"836 PONTIAC AVE, BC, 21225",21225,Brooklyn,10,Southern,916,39.234019473660844,-76.598490138456611,"(39.234019473660844, -76.598490138456611)",0,0,+kHtfDbtJH35MeYBeiQqHxIZyMGmwy3yXuvaJwb/SsY=,7
8387,1237534,5004w00002tdOJ0AAM,24-00149268,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"6828 GOUGH ST, Baltimore City, 21224",21224,Eastwood,1,Southeastern,234,39.290821295718786,-76.530731965950267,"(39.290821295718786, -76.530731965950267)",0,0,WG7RSHBCshKvE9IgB5gJFRzET/l5oSNC7CsjhwF5zHk=,7
8388,1237539,5004w00002tdOJ8AAM,24-00149093,SW-Dirty Street,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"9TH ST & E PONTIAC AVE, Baltimore City, 21225",21225,Brooklyn,10,Southern,916,39.233861378146074,-76.598268117830344,"(39.233861378146074, -76.598268117830344)",0,0,XEq90v/3jrNw+b8xtcSyO7db53z2JrNuUJa3iGL1+4E=,7
8389,1237560,5004w00002tdokbAAA,24-00158059,SW-Dirty Alley,API,1708300800000,Closed,1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,SR assessed and no cause for action determined,"3208 BAKER ST, Baltimore City, 21216",21216,Rosemont,9,Northwestern,615,39.305954761102008,-76.671494882463094,"(39.305954761102008, -76.671494882463094)",0,0,83xaQsJ1B/kf/IPXd2VC+bR4lq5rF6PAQMWksj2YcsA=,7
8390,1237596,5004w00002tdOLYAA2,24-00149104,SW-Dirty Street,Phone,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,SR assessed and no cause for action determined,"3100 ELM AVE, Baltimore City, 21211",21211,Hampden,14,Northern,512,39.325348595658198,-76.631570054755770,"(39.325348595658198, -76.631570054755770)",0,0,kyPBtpuOjOdPV8KCp4JPP1/Bx+I34dG/rGW4/REVL+8=,6
8391,1237623,5004w00002tdOn3AAE,24-00149313,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"2020 E FEDERAL ST, Baltimore City, 21213",21213,Broadway East,12,Eastern,323,39.308891084584047,-76.589605316047241,"(39.308891084584047, -76.589605316047241)",0,0,70K+LXetaNzQtWSOC2G86eHCtMxaenJLMgCN4/nV3DU=,7
8392,1237632,5004w00002tdonlAAA,24-00158114,SW-Dirty Street,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"AYRDALE AVE & EGERTON RD, Baltimore City, 21215",21215,Callaway-Garrison,6,Northwestern,623,39.327917435213685,-76.680575048873905,"(39.327917435213685, -76.680575048873905)",0,0,xLq/+uVEU5WT3A9nB3fZ6Ylde+uu1pfEwNeXrrKsn1U=,8
8393,1237705,5004w00002tdOqHAAU,24-00149344,SW-Dirty Alley,API,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work referred to another agency (NOT BY SR TRANSFER),"1100 BLK GLENEAGLE-RAMBLEWOOD, Baltimore City, 21239",21239,Glen Oaks,4,Northeastern,414,39.363452380493925,-76.595243918236974,"(39.363452380493925, -76.595243918236974)",0,0,lQ4DE4Yat53FuNAgKl+eBvsYR422QuuNWf2EpEKcL/0=,8
8394,1237716,5004w00002tdoQVAAY,24-00157962,SW-Dirty Alley,Phone,1708300800000,Closed,1708732800000,1709078400000,1708732800000,Solid Waste,Service Response,1708732800000,Work completed,"1700 GREENMOUNT AVE, Baltimore City, 21202",21202,Greenmount West,12,Eastern,311,39.309331107961661,-76.609497590682707,"(39.309331107961661, -76.609497590682707)",0,0,LVzxc4yOwPZNE1AcYFDU4QlotiI58tlswm/sOpy1ZRg=,5
8395,1237719,5004w00002tdOqYAAU,24-00149519,SW-Dirty Alley,API,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"1300 BLK S WARD-CARROLL, Baltimore City, 21230",21230,Washington Village/Pigtown,10,Southern,932,39.279371906359273,-76.635389216988031,"(39.279371906359273, -76.635389216988031)",0,0,XhgMo/qI+F0PesVhexGbDbIyBaWloeg4oAdeG2qxhDs=,8
8396,1237767,5004w00002tdosUAAQ,24-00158067,SW-Dirty Street,Phone,1708300800000,Closed,1708473600000,1709078400000,1708473600000,Solid Waste,Service Response,1708473600000,Work could not be completed,"BAKER ST & N HILTON ST & WINTERBOURNE-ALLEY-BRI*, Baltimore City, 21216",21216,Rosemont,9,Northwestern,615,39.305729795829194,-76.672105010618935,"(39.305729795829194, -76.672105010618935)",0,0,6ledu6LtQnAsePUjMrXjKrnh7B6LUdYA8FpXGJ6CVBI=,2
8397,1237779,5004w00002tdOTIAA2,24-00149163,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work could not be completed,"2546 DRUID PARK DR, Baltimore City, 21215",21215,Park Circle,6,Northern,531,39.327601026586919,-76.656462618621873,"(39.327601026586919, -76.656462618621873)",0,0,V79KOaf4ulOMC0m+jsWP52D84bWSEN+Hln8MN1qKs/o=,7
8398,1237793,5004w00002tdOUfAAM,24-00149172,SW-Dirty Street,API,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"402 W 29TH ST, Baltimore City, 21211",21211,Remington,12,Northern,512,39.321374888777932,-76.624312605861789,"(39.321374888777932, -76.624312605861789)",0,0,PWgjF4aRMMa3Gbh7QgUiKgIMXKfrfgSgjNPbG14vZAE=,6
8399,1237820,5004w00002tdoVOAAY,24-00158021,SW-Dirty Alley,Phone,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"2800 ERDMAN AVE, Baltimore City, 21213",21213,Belair-Edison,13,Eastern,331,39.323439403545322,-76.576253129678022,"(39.323439403545322, -76.576253129678022)",0,0,PgCp21XTTEIhNPDGWEgFLSYOI5G6SVOhP5eaLdIEfeI=,3
8400,1237879,5004w00002tdoySAAQ,24-00158086,SW-Dirty Street,Phone,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work completed,"CALLAWAY AVE & LIBERTY HEIGHTS AVE, Baltimore City, 21215",21215,Forest Park,6,Northwestern,623,39.326330831637442,-76.678878440142981,"(39.326330831637442, -76.678878440142981)",0,0,e3oIYl0XM8zuPZ2CaOyY6DV9GDUQqxGZTVAk6E2i+BI=,8
8401,1237960,5004w00002tdP4sAAE,24-00149451,SW-Dirty Alley,API,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,SR assessed and no cause for action determined,"1517 OLMSTEAD ST, Baltimore City, 21226",21226,Curtis Bay,10,Southern,913,39.227386021676899,-76.589306255310348,"(39.227386021676899, -76.589306255310348)",0,0,IneGHNslgiE9uZ46wekK/zSzpNgHwRXuuY94I48sSCU=,7
8402,1237990,5004w00002tdp75AAA,24-00158109,SW-Dirty Alley,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,Work could not be completed,"4015 EDMONDSON AVE, Baltimore City, 21229",21229,Allendale,8,Southwestern,812,39.293478491432168,-76.683109846506184,"(39.293478491432168, -76.683109846506184)",0,0,w/RsBTbPgcIsD0tUwMSS4rbeKZZgekTZEu/MVl4WvXY=,8
8403,1238027,5004w00002tdP9YAAU,24-00149489,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"500 BALTIC AVE, Baltimore City, 21225",21225,Brooklyn,10,Southern,916,39.240221026838370,-76.601892243210472,"(39.240221026838370, -76.601892243210472)",0,0,0kHYOmLi0SHBewY3CXqcpxKOOE/waXpuhl4o9cXr3NU=,7
8404,1238033,5004w00002tdPAbAAM,24-00149499,SW-Dirty Street,Phone,1707955200000,Closed,1708646400000,1708905600000,1708646400000,Solid Waste,Service Response,1708646400000,Work completed,"518 S GILMOR ST, Baltimore City, 21223",21223,Mount Clare,9,Southwestern,833,39.281801391705940,-76.642179732307554,"(39.281801391705940, -76.642179732307554)",0,0,H+Zb4UkzA5HLB4zLd1jAPySpxDq8P/T4J716bUX3JqI=,8
8405,1238053,5004w00002tdpbFAAQ,24-00158224,SW-Dirty Street,Phone,1708300800000,Closed,1708560000000,1709078400000,1708560000000,Solid Waste,Service Response,1708560000000,SR assessed and no cause for action determined,"GRANADA AVE & BELLE AVE, BC, 21215",21215,Dorchester,6,Northwestern,623,39.333184321577733,-76.687027988058233,"(39.333184321577733, -76.687027988058233)",0,0,/jr6nIJFJQAmG44v45b07kyFD6ge1ON3Kx0TCMyTFnQ=,3
8406,1238075,5004w00002tdPCIAA2,24-00149509,SW-Dirty Alley,API,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work could not be completed,"3245 E BALTIMORE ST, Baltimore City, 21224",21224,Patterson Park Neighborhood,1,Southeastern,213,39.292267885711894,-76.570642116371644,"(39.292267885711894, -76.570642116371644)",0,0,+1bJUcaOg/h+FkHBTBYMyWvnHGUTcN8dnfC2DL/Wd+o=,7
8407,1238112,5004w00002tdPegAAE,24-00149705,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"526 BALTIC AVE, Baltimore City, 21225",21225,Brooklyn,10,Southern,916,39.239977519077037,-76.601094234758861,"(39.239977519077037, -76.601094234758861)",0,0,0Zm4LQzNli7Vs/VfXx0tVm1uoGzcnVPjtLG8paCcrbs=,7
8408,1238119,5004w00002tdpePAAQ,24-00158288,SW-Dirty Alley,API,1708300800000,Closed,1708992000000,1709078400000,1708992000000,Solid Waste,Service Response,1708992000000,SR assessed and no cause for action determined,"600 S BRICE ST, Baltimore City, 21223",21223,Carrollton Ridge,9,Southwestern,831,39.280382873401670,-76.648020897596808,"(39.280382873401670, -76.648020897596808)",0,0,5aeqFUTA1kxphlniGq559dvekAB2QWy0UwkE+ubF7O8=,8
8409,1238127,5004w00002tdPeXAAU,24-00149735,SW-Dirty Alley,Phone,1707955200000,Closed,1708560000000,1708905600000,1708560000000,Solid Waste,Service Response,1708560000000,Work completed,"3 N CARROLLTON AVE, BC, 21223",21223,Poppleton,9,Southwestern,835,39.288706198400369,-76.636621973669662,"(39.288706198400369, -76.636621973669662)",0,0,4PDSRNNbf8EyGOrEiXcZ7UXEIpSGeDDUvr5wVPyxyAQ=,7
8410,1238135,5004w00002tdPfAAAU,24-00149715,SW-Dirty Alley,Phone,1707955200000,Closed,1708473600000,1708905600000,1708473600000,Solid Waste,Service Response,1708473600000,Work completed,"2000 BLK N LONGWOOD ST, Baltimore City, 21216",21216,Walbrook,7,Northwestern,613,39.310437811188251,-76.667637752409533,"(39.310437811188251, -76.667637752409533)",0,0,sA/Fh+gydrxLaSP6MzFPzX8ud+mQdP0n8RV04aCtQB4=,6
8411,1216864,5004w00002tcnwJAAQ,24-00137264,SW-Dirty Alley,API,1707609600000,Closed,1707955200000,1708387200000,1707955200000,Solid Waste,Service Response,1707955200000,Work completed,"1415 W OSTEND ST, Baltimore City, 21223",21223,Washington Village/Pigtown,10,Southern,932,39.282605395221921,-76.635441815194184,"(39.282605395221921, -76.635441815194184)",0,0,LMqlxvoPNJQN6KNN9VaKGsAzJNPOILogNEjNEKJhtio=,4
8412,1238161,5004w00002tdpg7AAA,24-00158309,SW-Dirty Alley,API,1708300800000,Closed,1708905600000,1709078400000,1708905600000,Solid Waste,Service Response,1708905600000,Work completed,"600 S PULASKI ST, BC, 21223",21223,Carrollton Ridge,9,Southwestern,831,39.280463176547713,-76.648878876523270,"(39.280463176547713, -76.648878876523270)",0,0,nfhKWhUlIcHI72Bc3wgl0OuqC/Nkpm/wzTt24lFbZs4=,7
8413,1211656,5004w00002tchrJAAQ,24-00134808,SW-Dirty Street,API,1707436800000,Closed,1707955200000,1708387200000,1707955200000,Solid Waste,Service Response,1707955200000,Work completed,"2500 DULANY ST, BC, 21223",21223,Millhill,9,Southwestern,825,39.281370516752254,-76.655838623298209,"(39.281370516752254, -76.655838623298209)",0,0,QYAbZzUdgWuVgWNe9zkdRVAP13K0JvmwndupMVf3G/M=,6
8414,1211658,5004w00002tchrKAAQ,24-00134826,SW-Dirty Street,API,1707436800000,Closed,1707955200000,1708387200000,1707955200000,Solid Waste,Service Response,1707955200000,Work completed,"200 DENISON ST, BC, 21229",21229,Allendale,8,Southwestern,821,39.289879497243021,-76.675542425378907,"(39.289879497243021, -76.675542425378907)",0,0,68HlkL1Xd1beYlUQZyXFWHqLbvBvuFV/fihbmJpKhnE=,6
8415,1216939,5004w00002tcNYLAA2,24-00127243,SW-Dirty Alley,API,1707264000000,Closed (Duplicate),1707350400000,1708041600000,1707350400000,Solid Waste,Service Response,1707350400000,Work completed,"2500 BLK KIRK AVE, Baltimore City, 21218",21218,Coldstream Homestead Montebello,14,Eastern,315,39.318945654490108,-76.601320300828121,"(39.318945654490108, -76.601320300828121)",0,0,g5HRxGPqQyVJ7vJwMEdas2dkxmvDyGAuWVz3clUhAdI=,1
